"Activity Name","Course Code","Activity Host Key","Actvity Type","Day Name","Start Time","End Time","Location Name"
"MATH1 EM1a - Tutorial/26","MATH08074_SS1_SEM1","#SPLUS1BB2A3","Tutorial","Friday","10:00","10:50","2.03"
"MATH1 EM1a - Tutorial/28","MATH08074_SS1_SEM1","#SPLUS1BB26A","Tutorial","Thursday","10:00","10:50","M2 - Teaching Studio"
"MATH1 EM1a - Tutorial/29","MATH08074_SS1_SEM1","#SPLUS1BB29B","Tutorial","Friday","10:00","10:50","M2 - Teaching Studio"
"MATH1 EM1a - Tutorial/30","MATH08074_SS1_SEM1","#SPLUS1BB2A5","Tutorial","Friday","11:10","12:00","2.03"
"MATH1 EM1a - Tutorial/31","MATH08074_SS1_SEM1","#SPLUS1BB29D","Tutorial","Friday","11:10","12:00","M2 - Teaching Studio"
"MATH1 EM1a - Tutorial/32","MATH08074_SS1_SEM1","#SPLUS1BB29F","Tutorial","Friday","12:10","13:00","M2 - Teaching Studio"
"MATH1 EM1a - Tutorial/33","MATH08074_SS1_SEM1","#SPLUS1BB2A7","Tutorial","Friday","12:10","13:00","2.03"
"MATH1 EM1a - Tutorial/34","MATH08074_SS1_SEM1","#SPLUS1BB299","Tutorial","Friday","9:00","9:50","M2 - Teaching Studio"
"MATH1 IDS - Tutorial/01","MATH08077_SS1_SEM1","#SPLUS1BB705","Tutorial - Online Live","Friday","10:00","10:50",""
"MATH1 IDS - Tutorial/02","MATH08077_SS1_SEM1","#SPLUS1BB707","Tutorial - Online Live","Friday","11:10","12:00",""
"MATH1 IDS - Tutorial/03","MATH08077_SS1_SEM1","#SPLUS1BB709","Tutorial - Online Live","Friday","12:10","13:00",""
